"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 15:25:19 BRT 2024","Tue Jan 30 15:25:20 BRT 2024","618","","mateusaniceto.get.GetProductTest","","mateusaniceto.get.GetProductTest","validarBuscarProdutoPorIdComSucesso","validarBuscarProdutoPorIdComSucesso()",""
"passed","Tue Jan 30 15:25:25 BRT 2024","Tue Jan 30 15:25:25 BRT 2024","639","","mateusaniceto.get.GetUserTest","","mateusaniceto.get.GetUserTest","validarUsuarioUnico","validarUsuarioUnico()",""
"passed","Tue Jan 30 15:25:25 BRT 2024","Tue Jan 30 15:25:27 BRT 2024","1233","","mateusaniceto.post.PostAuthTest","","mateusaniceto.post.PostAuthTest","validarLogarUsuarioComSucesso","validarLogarUsuarioComSucesso()",""
"passed","Tue Jan 30 15:25:27 BRT 2024","Tue Jan 30 15:25:28 BRT 2024","606","","mateusaniceto.post.PostProductTest","","mateusaniceto.post.PostProductTest","validarCriarNovoProdutoComCampoVazio","validarCriarNovoProdutoComCampoVazio()",""
"passed","Tue Jan 30 15:25:20 BRT 2024","Tue Jan 30 15:25:21 BRT 2024","588","","mateusaniceto.get.GetProductTest","","mateusaniceto.get.GetProductTest","validarBuscarProdutoPorIdString","validarBuscarProdutoPorIdString()",""
"passed","Tue Jan 30 15:25:24 BRT 2024","Tue Jan 30 15:25:25 BRT 2024","622","","mateusaniceto.get.GetUserTest","","mateusaniceto.get.GetUserTest","validarExisteUmUsuario","validarExisteUmUsuario()",""
"passed","Tue Jan 30 15:25:20 BRT 2024","Tue Jan 30 15:25:20 BRT 2024","622","","mateusaniceto.get.GetProductTest","","mateusaniceto.get.GetProductTest","validarBuscarProdutosComSucesso","validarBuscarProdutosComSucesso()",""
"passed","Tue Jan 30 15:25:23 BRT 2024","Tue Jan 30 15:25:23 BRT 2024","578","","mateusaniceto.get.GetTestTest","","mateusaniceto.get.GetTestTest","validarRespostaStatus","validarRespostaStatus()",""
"passed","Tue Jan 30 15:25:17 BRT 2024","Tue Jan 30 15:25:18 BRT 2024","630","","mateusaniceto.get.GetAuthTest","","mateusaniceto.get.GetAuthTest","validarBuscarProdutosSemAutenticacao","validarBuscarProdutosSemAutenticacao()",""
"passed","Tue Jan 30 15:25:19 BRT 2024","Tue Jan 30 15:25:19 BRT 2024","618","","mateusaniceto.get.GetAuthTest","","mateusaniceto.get.GetAuthTest","validarBuscarProdutosAutenticadoComSucesso","validarBuscarProdutosAutenticadoComSucesso()",""
"passed","Tue Jan 30 15:25:29 BRT 2024","Tue Jan 30 15:25:29 BRT 2024","595","","mateusaniceto.post.PostProductTest","","mateusaniceto.post.PostProductTest","validarCriarNovoProdutoInvalido","validarCriarNovoProdutoInvalido()",""
"passed","Tue Jan 30 15:25:23 BRT 2024","Tue Jan 30 15:25:24 BRT 2024","613","","mateusaniceto.get.GetUserTest","","mateusaniceto.get.GetUserTest","validarBuscarUsuarioComSucesso","validarBuscarUsuarioComSucesso()",""
"passed","Tue Jan 30 15:25:22 BRT 2024","Tue Jan 30 15:25:22 BRT 2024","592","","mateusaniceto.get.GetProductTest","","mateusaniceto.get.GetProductTest","validarBuscarProdutoPorIdNegativo","validarBuscarProdutoPorIdNegativo()",""
"passed","Tue Jan 30 15:25:27 BRT 2024","Tue Jan 30 15:25:27 BRT 2024","789","","mateusaniceto.post.PostAuthTest","","mateusaniceto.post.PostAuthTest","validarLogarUsuarioSemSucesso","validarLogarUsuarioSemSucesso()",""
"passed","Tue Jan 30 15:25:21 BRT 2024","Tue Jan 30 15:25:22 BRT 2024","588","","mateusaniceto.get.GetProductTest","","mateusaniceto.get.GetProductTest","validarBuscarProdutoPorIdSemSucesso","validarBuscarProdutoPorIdSemSucesso()",""
"passed","Tue Jan 30 15:25:18 BRT 2024","Tue Jan 30 15:25:19 BRT 2024","599","","mateusaniceto.get.GetAuthTest","","mateusaniceto.get.GetAuthTest","validarBuscarProdutosComAutenticacaoInvalida","validarBuscarProdutosComAutenticacaoInvalida()",""
"passed","Tue Jan 30 15:25:22 BRT 2024","Tue Jan 30 15:25:23 BRT 2024","586","","mateusaniceto.get.GetTestTest","","mateusaniceto.get.GetTestTest","validarBuscarStatusComSucesso","validarBuscarStatusComSucesso()",""
"passed","Tue Jan 30 15:25:28 BRT 2024","Tue Jan 30 15:25:29 BRT 2024","586","","mateusaniceto.post.PostProductTest","","mateusaniceto.post.PostProductTest","validarCriarNovoProdutoComSucesso","validarCriarNovoProdutoComSucesso()",""
